year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2016,Denmark,Europe,Northern Europe,DNK,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
2016,Switzerland,Europe,Western Europe,CHE,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
2016,Iceland,Europe,Northern Europe,ISL,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
2016,Norway,Europe,Northern Europe,NOR,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
2016,Finland,Europe,Northern Europe,FIN,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
2016,Canada,Americas,Northern America,CAN,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
2016,Netherlands,Europe,Western Europe,NLD,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
2016,New Zealand,Oceania,Australia and New Zealand,NZL,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904
2016,Australia,Oceania,Australia and New Zealand,AUS,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
2016,Sweden,Europe,Northern Europe,SWE,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
2016,Israel,Asia,Western Asia,ISR,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728
2016,Austria,Europe,Western Europe,AUT,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
2016,United States,Americas,Northern America,USA,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868
2016,Costa Rica,Americas,Latin America and the Caribbean,CRI,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547
2016,Germany,Europe,Western Europe,DEU,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
2016,Brazil,Americas,Latin America and the Caribbean,BRA,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
2016,Belgium,Europe,Western Europe,BEL,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
2016,Ireland,Europe,Northern Europe,IRL,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
2016,Mexico,Americas,Latin America and the Caribbean,MEX,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355
2016,Singapore,Asia,South-eastern Asia,SGP,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987
2016,United Kingdom,Europe,Northern Europe,GBR,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
2016,Chile,Americas,Latin America and the Caribbean,CHL,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
2016,Panama,Americas,Latin America and the Caribbean,PAN,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423
2016,Argentina,Americas,Latin America and the Caribbean,ARG,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
2016,United Arab Emirates,Asia,Western Asia,ARE,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561
2016,Uruguay,Americas,Latin America and the Caribbean,URY,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
2016,Malta,Europe,Southern Europe,MLT,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
2016,Colombia,Americas,Latin America and the Caribbean,COL,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399
2016,France,Europe,Western Europe,FRA,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
2016,Thailand,Asia,South-eastern Asia,THA,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833
2016,Saudi Arabia,Asia,Western Asia,SAU,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008
2016,Spain,Europe,Southern Europe,ESP,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
2016,Algeria,Africa,Northern Africa,DZA,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
2016,Bahrain,Asia,Western Asia,BHR,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
2016,Venezuela,Americas,Latin America and the Caribbean,VEN,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304
2016,Slovakia,Europe,Eastern Europe,SVK,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
2016,El Salvador,Americas,Latin America and the Caribbean,SLV,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613
2016,Malaysia,Asia,South-eastern Asia,MYS,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081
2016,Nicaragua,Americas,Latin America and the Caribbean,NIC,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292
2016,Uzbekistan,Asia,Central Asia,UZB,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
2016,Italy,Europe,Southern Europe,ITA,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
2016,Ecuador,Americas,Latin America and the Caribbean,ECU,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037
2016,Japan,Asia,Eastern Asia,JPN,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985
2016,Kazakhstan,Asia,Central Asia,KAZ,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
2016,Moldova,Europe,Eastern Europe,MDA,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
2016,Russia,Europe,Eastern Europe,RUS,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586
2016,Poland,Europe,Eastern Europe,POL,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
2016,South Korea,Asia,Eastern Asia,PRK,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716
2016,Bolivia,Americas,Latin America and the Caribbean,BOL,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
2016,Lithuania,Europe,Northern Europe,LTU,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
2016,Slovenia,Europe,Southern Europe,SVN,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
2016,Peru,Americas,Latin America and the Caribbean,PER,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292
2016,Mauritius,Africa,Sub-Saharan Africa,MUS,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203
2016,Latvia,Europe,Northern Europe,LVA,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
2016,Cyprus,Asia,Western Asia,CYP,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228
2016,Paraguay,Americas,Latin America and the Caribbean,PRY,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396
2016,Romania,Europe,Eastern Europe,ROU,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
2016,Estonia,Europe,Northern Europe,EST,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
