year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2020,Finland,Europe,Northern Europe,FIN,7.808700085,1.285189509,1.499525905,71.9008255,0.66231674,0.159670442,0.195444584
2020,Denmark,Europe,Northern Europe,DNK,7.645599842,1.326948524,1.503449202,72.40250397,0.665039897,0.242793396,0.168489456
2020,Switzerland,Europe,Western Europe,CHE,7.559899807,1.39077425,1.472403407,74.10244751,0.62895447,0.269055754,0.303728431
2020,Iceland,Europe,Northern Europe,ISL,7.504499912,1.326501608,1.547567487,73.0,0.661980748,0.362330228,0.711709738
2020,Norway,Europe,Northern Europe,NOR,7.487999916,1.42420733,1.495172501,73.20078278,0.670200884,0.287985086,0.263218194
2020,Netherlands,Europe,Western Europe,NLD,7.448900223,1.338946342,1.463645935,72.30091858,0.61362648,0.336317569,0.364717126
2020,Sweden,Europe,Northern Europe,SWE,7.353499889,1.322235227,1.433347702,72.60076904,0.650297701,0.272827893,0.250880182
2020,New Zealand,Oceania,Australia and New Zealand,NZL,7.299600124,1.242317915,1.48721838,73.20262909,0.646789908,0.325726211,0.22113885
2020,Austria,Europe,Western Europe,AUT,7.294199944,1.317285538,1.437444925,73.00250244,0.603368878,0.255509764,0.499954879
2020,Canada,Americas,Northern America,CAN,7.23210001,1.301647663,1.435391903,73.60160065,0.644028127,0.28152892,0.390843362
2020,Australia,Oceania,Australia and New Zealand,AUS,7.222799778,1.310396433,1.477146268,73.60453796,0.621877193,0.324973613,0.41516912
2020,United Kingdom,Europe,Northern Europe,GBR,7.164500237,1.273061037,1.457844973,72.30160522,0.525168657,0.373433441,0.435915917
2020,Israel,Asia,Western Asia,ISR,7.128600121,1.216463685,1.403256774,73.20025635,0.420699477,0.266861796,0.78085506
2020,Costa Rica,Americas,Latin America and the Caribbean,CRI,7.121399879,0.981107712,1.374853611,71.29985046,0.645017743,0.131266311,0.786332428
2020,Ireland,Europe,Northern Europe,IRL,7.093699932,1.446886778,1.470596433,72.30078888,0.587779939,0.295426995,0.357184172
2020,Germany,Europe,Western Europe,DEU,7.075799942,1.314184546,1.368543744,72.20201874,0.564274132,0.252037704,0.456422031
2020,United States,Americas,Northern America,USA,6.939599991,1.37398684,1.404786706,68.29949951,0.534608245,0.298143059,0.699715316
2020,Belgium,Europe,Western Europe,BEL,6.863500118,1.295842767,1.398677588,72.00164795,0.499805421,0.146966159,0.612297952
2020,United Arab Emirates,Asia,Western Asia,ARE,6.790800095,1.431086421,1.251170993,67.08278656,0.652936101,0.28065598,0.594502211
2020,Malta,Europe,Southern Europe,MLT,6.772799969,1.252513289,1.442956924,72.19999695,0.633239031,0.341180831,0.658547282
2020,France,Europe,Western Europe,FRA,6.663799763,1.268129349,1.458839178,73.80193329,0.514050901,0.112607703,0.583521128
2020,Mexico,Americas,Latin America and the Caribbean,MEX,6.465000153,1.024387479,1.226333499,68.29902649,0.553892553,0.083094485,0.806821585
2020,Uruguay,Americas,Latin America and the Caribbean,URY,6.440100193,1.071000457,1.425081134,69.00254822,0.59426707,0.132143691,0.635994136
2020,Saudi Arabia,Asia,Western Asia,SAU,6.406499863,1.334328532,1.309950113,66.30514526,0.548477471,0.087440684,0.682619512
2020,Spain,Europe,Southern Europe,ESP,6.400899887,1.230535269,1.421099186,74.40270996,0.425983816,0.16530548,0.765859902
2020,Italy,Europe,Southern Europe,ITA,6.38740015,1.236396074,1.347296,73.60168457,0.321305573,0.170266211,0.873404682
2020,Singapore,Asia,South-eastern Asia,SGP,6.377099991,1.519580126,1.39545691,76.80458069,0.635317206,0.218770906,0.109784193
2020,Brazil,Americas,Latin America and the Caribbean,BRA,6.375599861,0.952679873,1.363464117,66.48016357,0.483292729,0.131674588,0.770601273
2020,Slovenia,Europe,Southern Europe,SVN,6.363399982,1.208652496,1.464677691,71.1029892,0.646700144,0.145701498,0.817071021
2020,El Salvador,Americas,Latin America and the Caribbean,SLV,6.34829998,0.748940408,1.149397612,66.10826111,0.524043918,0.1189363,0.754319906
2020,Panama,Americas,Latin America and the Caribbean,PAN,6.304800034,1.097667813,1.376149297,69.60301208,0.57984978,0.097207308,0.851588905
2020,Slovakia,Europe,Eastern Europe,SVK,6.280600071,1.194837689,1.424331188,68.90634155,0.423542529,0.116729774,0.918096125
2020,Uzbekistan,Asia,Central Asia,UZB,6.257599831,0.696652949,1.434020042,65.10757446,0.693270326,0.363311023,0.501497388
2020,Chile,Americas,Latin America and the Caribbean,CHL,6.228499889,1.096992493,1.323286891,69.90061951,0.417482227,0.155579001,0.838239431
2020,Bahrain,Asia,Western Asia,BHR,6.227300167,1.296692252,1.31532371,68.5,0.610399902,0.287453711,0.7393471
