year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2023,Finland,Europe,Northern Europe,FIN,7.804,1.888,1.585,71.15,0.772,0.126,0.182
2023,Denmark,Europe,Northern Europe,DNK,7.586,1.949,1.548,71.25,0.734,0.208,0.196
2023,Iceland,Europe,Northern Europe,ISL,7.53,1.926,1.62,72.05,0.738,0.25,0.668
2023,Israel,Asia,Western Asia,ISR,7.473,1.833,1.521,72.697,0.569,0.124,0.708
2023,Netherlands,Europe,Western Europe,NLD,7.403,1.942,1.488,71.55,0.672,0.251,0.379
2023,Sweden,Europe,Northern Europe,SWE,7.395,1.921,1.51,72.15,0.754,0.225,0.202
2023,Norway,Europe,Northern Europe,NOR,7.315,1.994,1.521,71.5,0.752,0.212,0.283
2023,Switzerland,Europe,Western Europe,CHE,7.24,2.022,1.463,72.9,0.678,0.151,0.266
2023,New Zealand,Oceania,Australia and New Zealand,NZL,7.123,1.842,1.544,70.35,0.672,0.23,0.271
2023,Austria,Europe,Western Europe,AUT,7.097,1.927,1.382,71.15,0.63,0.191,0.497
2023,Australia,Oceania,Australia and New Zealand,AUS,7.095,1.899,1.497,71.05,0.677,0.242,0.496
2023,Canada,Americas,Northern America,CAN,6.961,1.881,1.484,71.4,0.656,0.218,0.42
2023,Ireland,Europe,Northern Europe,IRL,6.911,2.152,1.425,71.3,0.656,0.186,0.358
2023,United States,Americas,Northern America,USA,6.894,1.98,1.46,65.85,0.557,0.21,0.689
2023,Germany,Europe,Western Europe,DEU,6.892,1.919,1.401,71.3,0.618,0.153,0.42
2023,Belgium,Europe,Western Europe,BEL,6.859,1.907,1.449,70.899,0.59,0.137,0.549
2023,United Kingdom,Europe,Northern Europe,GBR,6.796,1.857,1.366,70.3,0.626,0.272,0.454
2023,Lithuania,Europe,Northern Europe,LTU,6.763,1.808,1.511,67.397,0.487,0.059,0.805
2023,France,Europe,Western Europe,FRA,6.661,1.856,1.433,72.3,0.582,0.083,0.553
2023,Slovenia,Europe,Southern Europe,SVN,6.65,1.815,1.539,71.052,0.707,0.144,0.771
2023,Costa Rica,Americas,Latin America and the Caribbean,CRI,6.609,1.587,1.34,70.0,0.683,0.099,0.768
2023,Romania,Europe,Eastern Europe,ROU,6.589,1.726,1.28,67.051,0.631,0.044,0.929
2023,Singapore,Asia,South-eastern Asia,SGP,6.587,2.168,1.354,73.8,0.66,0.17,0.146
2023,United Arab Emirates,Asia,Western Asia,ARE,6.571,2.015,1.223,66.243,0.745,0.188,0.584
2023,Uruguay,Americas,Latin America and the Caribbean,URY,6.494,1.617,1.445,67.5,0.683,0.102,0.575
2023,Slovakia,Europe,Eastern Europe,SVK,6.469,1.731,1.544,68.838,0.494,0.128,0.898
2023,Saudi Arabia,Asia,Western Asia,SAU,6.463,1.861,1.37,64.399,0.682,0.093,0.691
2023,Estonia,Europe,Northern Europe,EST,6.455,1.798,1.526,69.65,0.728,0.153,0.409
