year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2021,Finland,Europe,Northern Europe,FIN,7.842,1.446,1.106,72.0,0.691,0.124,0.186
2021,Denmark,Europe,Northern Europe,DNK,7.62,1.502,1.108,72.7,0.686,0.208,0.179
2021,Switzerland,Europe,Western Europe,CHE,7.571,1.566,1.079,74.4,0.653,0.204,0.292
2021,Iceland,Europe,Northern Europe,ISL,7.554,1.482,1.172,73.0,0.698,0.293,0.673
2021,Netherlands,Europe,Western Europe,NLD,7.464,1.501,1.079,72.4,0.647,0.302,0.338
2021,Norway,Europe,Northern Europe,NOR,7.392,1.543,1.108,73.3,0.703,0.249,0.27
2021,Sweden,Europe,Northern Europe,SWE,7.363,1.478,1.062,72.7,0.685,0.244,0.237
2021,New Zealand,Oceania,Australia and New Zealand,NZL,7.277,1.4,1.094,73.4,0.665,0.276,0.242
2021,Austria,Europe,Western Europe,AUT,7.268,1.492,1.062,73.3,0.64,0.215,0.481
2021,Australia,Oceania,Australia and New Zealand,AUS,7.183,1.453,1.076,73.9,0.647,0.291,0.442
2021,Israel,Asia,Western Asia,ISR,7.157,1.376,1.074,73.503,0.509,0.208,0.753
2021,Germany,Europe,Western Europe,DEU,7.155,1.48,0.993,72.5,0.6,0.195,0.46
2021,Canada,Americas,Northern America,CAN,7.103,1.447,1.044,73.8,0.648,0.246,0.415
2021,Ireland,Europe,Northern Europe,IRL,7.085,1.644,1.092,72.4,0.606,0.238,0.363
2021,Costa Rica,Americas,Latin America and the Caribbean,CRI,7.069,1.134,0.966,71.4,0.673,0.105,0.809
2021,United Kingdom,Europe,Northern Europe,GBR,7.064,1.423,1.062,72.5,0.58,0.34,0.459
2021,United States,Americas,Northern America,USA,6.951,1.533,1.03,68.2,0.554,0.252,0.698
2021,Belgium,Europe,Western Europe,BEL,6.834,1.463,0.998,72.199,0.489,0.088,0.646
2021,France,Europe,Western Europe,FRA,6.69,1.421,1.081,74.0,0.536,0.092,0.571
2021,Bahrain,Asia,Western Asia,BHR,6.647,1.409,0.899,69.495,0.661,0.246,0.722
2021,Malta,Europe,Southern Europe,MLT,6.602,1.411,1.055,72.2,0.664,0.275,0.653
2021,United Arab Emirates,Asia,Western Asia,ARE,6.561,1.555,0.86,67.333,0.67,0.236,0.589
2021,Saudi Arabia,Asia,Western Asia,SAU,6.494,1.435,0.964,66.603,0.603,0.09,0.684
2021,Spain,Europe,Southern Europe,ESP,6.491,1.375,1.057,74.7,0.462,0.135,0.745
2021,Italy,Europe,Southern Europe,ITA,6.483,1.393,0.94,73.8,0.379,0.133,0.866
2021,Slovenia,Europe,Southern Europe,SVN,6.461,1.36,1.093,71.4,0.69,0.122,0.806
2021,Uruguay,Americas,Latin America and the Caribbean,URY,6.431,1.164,1.042,69.1,0.625,0.128,0.59
2021,Singapore,Asia,South-eastern Asia,SGP,6.377,1.695,1.019,76.953,0.664,0.176,0.082
2021,Slovakia,Europe,Eastern Europe,SVK,6.331,1.304,1.066,69.201,0.468,0.107,0.911
