year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2019,Cameroon,Africa,Sub-Saharan Africa,CMR,5.044,0.549,0.91,0.331,0.381,0.187,0.037
2019,Bulgaria,Europe,Eastern Europe,BGR,5.011,1.092,1.513,0.815,0.311,0.081,0.004
2019,Ghana,Africa,Sub-Saharan Africa,GHA,4.996,0.611,0.868,0.486,0.381,0.245,0.04
2019,Nepal,Asia,Southern Asia,NPL,4.913,0.446,1.226,0.677,0.439,0.285,0.089
2019,Jordan,Asia,Western Asia,JOR,4.906,0.837,1.225,0.815,0.383,0.11,0.13
2019,Benin,Africa,Sub-Saharan Africa,BEN,4.883,0.393,0.437,0.397,0.349,0.175,0.082
2019,Gabon,Africa,Sub-Saharan Africa,GAB,4.799,1.057,1.183,0.571,0.295,0.043,0.055
2019,South Africa,Africa,Sub-Saharan Africa,ZAF,4.722,0.96,1.351,0.469,0.389,0.13,0.055
2019,Albania,Europe,Southern Europe,ALB,4.719,0.947,0.848,0.874,0.383,0.178,0.027
2019,Venezuela,Americas,Latin America and the Caribbean,VEN,4.707,0.96,1.427,0.805,0.154,0.064,0.047
2019,Cambodia,Asia,South-eastern Asia,KHM,4.7,0.574,1.122,0.637,0.609,0.232,0.062
2019,Senegal,Africa,Sub-Saharan Africa,SEN,4.681,0.45,1.134,0.571,0.292,0.153,0.072
2019,Burkina Faso,Africa,Sub-Saharan Africa,BFA,4.587,0.331,1.056,0.38,0.255,0.177,0.113
2019,Armenia,Asia,Western Asia,ARM,4.559,0.85,1.055,0.815,0.283,0.095,0.064
2019,Iran,Asia,Southern Asia,IRN,4.548,1.1,0.842,0.785,0.305,0.27,0.125
2019,Guinea,Africa,Sub-Saharan Africa,GIN,4.534,0.38,0.829,0.375,0.332,0.207,0.086
2019,Georgia,Asia,Western Asia,GEO,4.519,0.886,0.666,0.752,0.346,0.043,0.164
2019,Kenya,Africa,Sub-Saharan Africa,KEN,4.509,0.512,0.983,0.581,0.431,0.372,0.053
2019,Tunisia,Africa,Northern Africa,TUN,4.461,0.921,1.0,0.815,0.167,0.059,0.055
2019,Bangladesh,Asia,Southern Asia,BGD,4.456,0.562,0.928,0.723,0.527,0.166,0.143
2019,Iraq,Asia,Western Asia,IRQ,4.437,1.043,0.98,0.574,0.241,0.148,0.089
2019,Mali,Africa,Sub-Saharan Africa,MLI,4.39,0.385,1.105,0.308,0.327,0.153,0.052
2019,Sierra Leone,Africa,Sub-Saharan Africa,SLE,4.374,0.268,0.841,0.242,0.309,0.252,0.045
2019,Sri Lanka,Asia,Southern Asia,LKA,4.366,0.949,1.265,0.831,0.47,0.244,0.047
2019,Myanmar,Asia,South-eastern Asia,MMR,4.36,0.71,1.181,0.555,0.525,0.566,0.172
2019,Ukraine,Europe,Eastern Europe,UKR,4.332,0.82,1.39,0.739,0.178,0.187,0.01
2019,Ethiopia,Africa,Sub-Saharan Africa,ETH,4.286,0.336,1.033,0.532,0.344,0.209,0.1
2019,Uganda,Africa,Sub-Saharan Africa,UGA,4.189,0.332,1.069,0.443,0.356,0.252,0.06
2019,Egypt,Africa,Northern Africa,EGY,4.166,0.913,1.039,0.644,0.241,0.076,0.067
2019,Zambia,Africa,Sub-Saharan Africa,ZMB,4.107,0.578,1.058,0.426,0.431,0.247,0.087
2019,Togo,Africa,Sub-Saharan Africa,TGO,4.085,0.275,0.572,0.41,0.293,0.177,0.085
2019,India,Asia,Southern Asia,IND,4.015,0.755,0.765,0.588,0.498,0.2,0.085
2019,Zimbabwe,Africa,Sub-Saharan Africa,ZWE,3.663,0.366,1.114,0.433,0.361,0.151,0.089
2019,Malawi,Africa,Sub-Saharan Africa,MWI,3.41,0.191,0.56,0.495,0.443,0.218,0.089
2019,Tanzania,Africa,Sub-Saharan Africa,TZA,3.231,0.476,0.885,0.499,0.417,0.276,0.147
2019,Afghanistan,Asia,Southern Asia,AFG,3.203,0.35,0.517,0.361,0.0,0.158,0.025
